top200_Celf4_targets,top500_Celf4_targets,parikshak_2016_ctx.M4,parikshak_2016_ctx.M9,parikshak_2016_ctx.M10,parikshak_2016_ctx.M16,parikshak_2016_ctx.M19,parikshak_2016_ctx.M20,psychEncode_ASD_FDR<0.01,psychEncode_ASD_FDR<0.001,psychEncode_SCZ_FDR<10e-5,psychEncode_SCZ_FDR<10e-9,psychEncode_BD_FDR<0.01,psychEncode_BD_FDR<0.001,SFARI_ASD_Candidate,FMRP_targets_Darnell_2014,conserved_CHD8_promoters_Cotney_2015,CPEB4_binding_Parras_2018,Rbfox1_up_target_genes_Lee_2016,All_Rbfox1_regulated_genes_lee_2016,All_Rbfox1_3'UTR_targets_Lee_2016
,,,,,,,,,,,,,,,DAPK1,ANKLE2,,,Sidt1,Eri3
,,,,,,,,,,,,,,,SCN8A,ZMYM2,,,Pcdh12,Ermp1
,,,,,,,,,,,,,,,ARHGEF12,ZMYM2,,,Cidea,Etf1
,,,,,,,,,,,,,,,AP2A1,ZMYM2,,,Incenp,Ets2
,,,,,,,,,,,,,,,DYNC1H1,XPO4,,,Il33,Ewsr1
,,,,,,,,,,,,,,,SLC6A17,RNF6,,,Nr0b1,Fam100a
,,,,,,,,,,,,,,,PCNXL3,RNF6,,,2310003H01Rik,Fam102b
,,,,,,,,,,,,,,,LRRC8B,RNF6,,,Podxl,Fam117b
,,,,,,,,,,,,,,,TBC1D9B,USP12,,,Nmb,Fam125b
,,,,,,,,,,,,,,,ADARB1,RPL21,,,Homer2,Fam133b
,,,,,,,,,,,,,,,HTT,RPL21P28,,,Klf7,Fam134b
,,,,,,,,,,,,,,,MYO5A,PAN3,,,Obfc2a,Fam13c
,,,,,,,,,,,,,,,SIPA1L1,PAN3-AS1,,,Efhd1,Fam164a
,,,,,,,,,,,,,,,SPTAN1,HMGB1,,,Kif26b,Fam168a
,,,,,,,,,,,,,,,MBP,USPL1,,,Cubn,Fam168b
,,,,,,,,,,,,,,,DLGAP2,B3GALTL,,,Wdr76,Fam171a1
,,,,,,,,,,,,,,,CACNA1E,PDS5B,,,Pacsin3,Fam188a
,,,,,,,,,,,,,,,RYR2,NHLRC3,,,Chac1,Fam19a5
,,,,,,,,,,,,,,,NCOA6,PROSER1,,,Rassf2,Fam49a
,,,,,,,,,,,,,,,FAM179B,WBP4,,,Tgm3,Fam54b
,,,,,,,,,,,,,,,CDC42BPB,TSC22D1,,,2010011I20Rik,Fam69a
,,,,,,,,,,,,,,,MTOR,RCBTB2,,,Prss12,Fbxl16
,,,,,,,,,,,,,,,SREBF2,FNDC3A,,,Gpatch4,Fbxl17
,,,,,,,,,,,,,,,ATG9A,MIR3613,,,Tacr3,Fbxo28
,,,,,,,,,,,,,,,PJA2,TRIM13,,,Epha8,Fbxo9
,,,,,,,,,,,,,,,SPRN,DLEU2,,,Vwa5b1,Fbxw5
,,,,,,,,,,,,,,,BMPR2,INTS6,,,Stmn1,Fermt2
,,,,,,,,,,,,,,,EHMT2,TDRD3,,,Casp9,Fgf12
,,,,,,,,,,,,,,,MBD5,TDRD3,,,Pgd,Fgf13
,,,,,,,,,,,,,,,BAG6,DACH1,,,2810405K02Rik,Fgf14
,,,,,,,,,,,,,,,PRRC2A,KLF12,,,Spp1,Fgfr2
,,,,,,,,,,,,,,,GABBR1,MYCBP2,,,Kntc1,Fkbp1b
,,,,,,,,,,,,,,,DCTN1,MIR3665,,,Phf14,Fnbp1
,,,,,,,,,,,,,,,ITSN1,SLAIN1,,,Col1a2,Foxj3
,,,,,,,,,,,,,,,,SLAIN1,,,Avl9,Fpgt
,,,,,,,,,,,,,,,VAMP2,RBM26,,,Mgp,Fry
,,,,,,,,,,,,,,,PLXNA4,RBM26-AS1,,,Rerg,Fsd1l
,,,,,,,,,,,,,,,NPTXR,SPRY2,,,5730419I09Rik,Fto
,,,,,,,,,,,,,,,ARHGAP23,MIR17,,,Cand2,Fubp1
,,,,,,,,,,,,,,,PI4KA,MIR17HG,,,Vasp,Fut11
,,,,,,,,,,,,,,,GPR162,DZIP1,,,Oca2,Fyn
,,,,,,,,,,,,,,,CUX1,FARP1,,,Dpf1,Gabrg1
,,,,,,,,,,,,,,,,TMTC4,,,Crym,Galntl1
,,,,,,,,,,,,,,,,BIVM,,,Zp2,Gas7
,,,,,,,,,,,,,,,,KDELC1,,,Has3,Gatm
,,,,,,,,,,,,,,,,EFNB2,,,Mcam,Gcap14
,,,,,,,,,,,,,,,,FAM155A,,,Clstn2,Gda
,,,,,,,,,,,,,,,,IRS2,,,Arpp21,Gdap1
,,,,,,,,,,,,,,,,ING1,,,Klhdc8b,Ggt7
,,,,,,,,,,,,,,,,ING1,,,Lama1,Git2
,,,,,,,,,,,,,,,,ING1,,,Styk1,Gjd2
,,,,,,,,,,,,,,,,ING1,,,Lss,Gm5151
,,,,,,,,,,,,,,,,ARHGEF7,,,Shf,Gm672
,,,,,,,,,,,,,,,,CUL4A,,,Ttll4,Gna11
,,,,,,,,,,,,,,,,CUL4A,,,Plcg2,Gng2
,,,,,,,,,,,,,,,,PCID2,,,Bmp2k,Golim4
,,,,,,,,,,,,,,,,PCID2,,,Celf5,Gopc
,,,,,,,,,,,,,,,,PCID2,,,Zfr2,Gpatch8
,,,,,,,,,,,,,,,,CHAMP1,,,Baz1a,Gpcpd1
,,,,,,,,,,,,,,,,TMEM253,,,Tgfbi,Gphn
,,,,,,,,,,,,,,,,ZNF219,,,Lmo1,Gprin1
,,,,,,,,,,,,,,,,ZNF219,,,Mag,Gria2
,,,,,,,,,,,,,,,,HOMEZ,,,Kif15,Gsk3b
,,,,,,,,,,,,,,,,EFS,,,Zdhhc9,Gtf2a2
,,,,,,,,,,,,,,,,AP4S1,,,Prmt10,Gtf2h5
,,,,,,,,,,,,,,,,AP4S1,,,Osbpl5,Gucy1a3
,,,,,,,,,,,,,,,,AP4S1,,,Cldn11,Gucy1b3
,,,,,,,,,,,,,,,,AP4S1,,,Tspan14,Hapln1
,,,,,,,,,,,,,,,,STRN3,,,H2afz,Hdgfrp3
,,,,,,,,,,,,,,,,HECTD1,,,Ankrd13b,Hecw2
,,,,,,,,,,,,,,,,CFL2,,,Inpp4b,Herc3
,,,,,,,,,,,,,,,,CFL2,,,Dnahc10,Hipk1
,,,,,,,,,,,,,,,,CFL2,,,Enpp6,Hk1
,,,,,,,,,,,,,,,,NFKBIA,,,Garnl3,Hnrnpa0
,,,,,,,,,,,,,,,,SEC23A,,,Rftn1,Hnrnpa1
,,,,,,,,,,,,,,,,PNN,,,Wdr17,Hnrnpd
,,,,,,,,,,,,,,,,MIS18BP1,,,Mreg,Hnrnpul2
,,,,,,,,,,,,,,,,KLHDC2,,,Exo1,Hnrpll
,,,,,,,,,,,,,,,,ARF6,,,Slc7a5,Hp1bp3
,,,,,,,,,,,,,,,,ATL1,,,Stat2,Hpcal4
,,,,,,,,,,,,,,,,MAP4K5,,,Arhgap11a,Hprt
,,,,,,,,,,,,,,,,PSMC6,,,Elovl6,Hrh3
,,,,,,,,,,,,,,,,FERMT2,,,Slc7a1,Hrk
,,,,,,,,,,,,,,,,DDHD1,,,Klf8,Hs6st2
,,,,,,,,,,,,,,,,CNIH,,,Ncapg2,Hsbp1
,,,,,,,,,,,,,,,,GMFB,,,Tmcc2,Hspa12a
,,,,,,,,,,,,,,,,MAPK1IP1L,,,Kank3,Hspa13
,,,,,,,,,,,,,,,,PELI2,,,Vwa1,Htatsf1
,,,,,,,,,,,,,,,,C14orf101,,,Atf4,Htt
,,,,,,,,,,,,,,,,AP5M1,,,Aqp11,Id4
,,,,,,,,,,,,,,,,EXOC5,,,Egflam,Impad1
,,,,,,,,,,,,,,,,NAA30,,,Gm6682,Iqsec1
,,,,,,,,,,,,,,,,ARID4A,,,Foxo1,Itpr1
,,,,,,,,,,,,,,,,FLJ31306,,,Uqcrq,Jazf1
,,,,,,,,,,,,,,,,KIAA0586,,,Cenpe,Jph4
,,,,,,,,,,,,,,,,KIAA0586,,,Rbp1,Kcnh1
,,,,,,,,,,,,,,,,TIMM9,,,Tmem164,Kcnip1
,,,,,,,,,,,,,,,,PPM1A,,,Flrt1,Kcnj2
,,,,,,,,,,,,,,,,MNAT1,,,Mex3d,Kcns2
,,,,,,,,,,,,,,,,SLC38A6,,,Hist1h1a,Kcnv1
,,,,,,,,,,,,,,,,SLC38A6,,,BC049635,Kctd13
,,,,,,,,,,,,,,,,TRMT5,,,Zfp52,Kctd17
,,,,,,,,,,,,,,,,PPP2R5E,,,Mafg,Kidins220
,,,,,,,,,,,,,,,,ZBTB1,,,Actn2,Kif21b
,,,,,,,,,,,,,,,,ZBTB25,,,Dnahc6,Kif2a
,,,,,,,,,,,,,,,,VTI1B,,,Cntn2,Kif3b
,,,,,,,,,,,,,,,,ZFP36L1,,,Cdca7,Kif3c
,,,,,,,,,,,,,,,,ZFP36L1,,,Lig1,Kif5a
,,,,,,,,,,,,,,,,ZFP36L1,,,Ppp1r14b,Kif5c
,,,,,,,,,,,,,,,,DCAF5,,,Ab124611,Kit
,,,,,,,,,,,,,,,,EXD2,,,Brd9,Klc2
,,,,,,,,,,,,,,,,EXD2,,,Pkn1,Klhdc10
,,,,,,,,,,,,,,,,EXD2,,,Xlr3a,Klhl13
,,,,,,,,,,,,,,,,EXD2,,,Dhcr7,Klhl24
,,,,,,,,,,,,,,,,TTC9,,,Hist1h1b,Kpna4
,,,,,,,,,,,,,,,,PCNX,,,Hydin,Lancl2
,,,,,,,,,,,,,,,,RBM25,,,Cd302,Laptm4b
,,,,,,,,,,,,,,,,ELMSAN1,,,Hist1h2ab,Lhx6
,,,,,,,,,,,,,,,,VASH1,,,Mospd2,Limd2
,,,,,,,,,,,,,,,,IRF2BPL,,,Hist1h2af,Lin7a
,,,,,,,,,,,,,,,,KIAA1737,,,Hist1h2ak,Lmbr1
,,,,,,,,,,,,,,,,GTF2A1,,,Ptpla,Lonrf2
,,,,,,,,,,,,,,,,GTF2A1,,,Hhip,Lrig2
,,,,,,,,,,,,,,,,GTF2A1,,,Ptprv,Lrp12
,,,,,,,,,,,,,,,,FLRT2,,,Speer3,Lrrc49
,,,,,,,,,,,,,,,,EFCAB11,,,Flnc,Lrrc58
,,,,,,,,,,,,,,,,TDP1,,,Gstm6,Lsm11
,,,,,,,,,,,,,,,,CALM1,,,Hist1h2ag,Lsm12
,,,,,,,,,,,,,,,,SMEK1,,,Hist1h2ah,Maea
,,,,,,,,,,,,,,,,ATXN3,,,Hist1h4n,Magi3
,,,,,,,,,,,,,,,,CPSF2,,,Hist1h3c,Mal2
,,,,,,,,,,,,,,,,NDUFB1,,,Fcho1,Manea
,,,,,,,,,,,,,,,,ITPK1,,,Ccdc153,Map1lc3b
,,,,,,,,,,,,,,,,DICER1,,,Gm572,Map3k9
,,,,,,,,,,,,,,,,DICER1-AS1,,,Hist1h2ad,Mapk10
,,,,,,,,,,,,,,,,PAPOLA,,,Csf2rb2,Mapk9
,,,,,,,,,,,,,,,,CCDC85C,,,Zhx2,Mapt
,,,,,,,,,,,,,,,,YY1,,,Fam84b,Maz
,,,,,,,,,,,,,,,,PPP2R5C,,,4921506M07Rik,Mbnl2
,,,,,,,,,,,,,,,,DYNC1H1,,,Arhgdig,Mcoln1
,,,,,,,,,,,,,,,,HSP90AA1,,,Kcng1,Mcts1
,,,,,,,,,,,,,,,,RCOR1,,,Aldh3b2,Med8
,,,,,,,,,,,,,,,,CDC42BPB,,,Pou3f1,Med9
,,,,,,,,,,,,,,,,EIF5,,,Rgag1,Mef2a
,,,,,,,,,,,,,,,,EIF5,,,Mndal,Mef2d
,,,,,,,,,,,,,,,,MARK3,,,Hist2h4,Mex3c
,,,,,,,,,,,,,,,,APOPT1,,,Dnahc7a,Mff
,,,,,,,,,,,,,,,,BAG5,,,Gtpbp3,Mgea5
,,,,,,,,,,,,,,,,BAG5,,,Gm7102,Mkl2
,,,,,,,,,,,,,,,,KLC1,,,Cmah,Mlf2
,,,,,,,,,,,,,,,,TEX22,,,Dcdc2c,Mpped1
,,,,,,,,,,,,,,,,C14orf80,,,Galr1,Mtap1b
,,,,,,,,,,,,,,,,C14orf80,,,Ttll11,Mtap2
,,,,,,,,,,,,,,,,C14orf80,,,Lce1g,Mtdh
,,,,,,,,,,,,,,,,MKRN3,,,Areg,Mtmr6
,,,,,,,,,,,,,,,,UBE3A,,,Ncor2,Mtpn
,,,,,,,,,,,,,,,,MTMR10,,,Cyb5r4,Myh10
,,,,,,,,,,,,,,,,KLF13,,,Lipi,Myl12b
,,,,,,,,,,,,,,,,AVEN,,,Inhba,Myo1b
,,,,,,,,,,,,,,,,EMC7,,,Ctla2a,Myt1l
,,,,,,,,,,,,,,,,PGBD4,,,Zfp488,Mzt1
,,,,,,,,,,,,,,,,ZNF770,,,Pbp2,Nap1l4
,,,,,,,,,,,,,,,,MEIS2,,,4930470H14Rik,Napg
,,,,,,,,,,,,,,,,MEIS2,,,Grk4,Nars
,,,,,,,,,,,,,,,,MEIS2,,,Armc7,Nav1
,,,,,,,,,,,,,,,,MEIS2,,,4932411L15,Ncoa1
,,,,,,,,,,,,,,,,MEIS2,,,Olfr613,Ndrg3
,,,,,,,,,,,,,,,,SPRED1,,,Vmn1r58,Ndst3
,,,,,,,,,,,,,,,,FAM98B,,,AI854517,Ndufa4
,,,,,,,,,,,,,,,,INO80,,,A730017L22Rik,Ndufc1
,,,,,,,,,,,,,,,,MAPKBP1,,,Rtl1,Ndufs2
,,,,,,,,,,,,,,,,TMEM87A,,,2410137F16Rik,Necab1
,,,,,,,,,,,,,,,,GANC,,,9530059O14Rik,Necab3
,,,,,,,,,,,,,,,,CASC4,,,4930511M06Rik,Nedd4l
,,,,,,,,,,,,,,,,CTDSPL2,,,Vmn2r55,Nefl
,,,,,,,,,,,,,,,,SHF,,,A130077B15Rik,Negr1
,,,,,,,,,,,,,,,,BLOC1S6,,,Gm17821,Neto2
,,,,,,,,,,,,,,,,MYEF2,,,Gm6300,Neurod2
,,,,,,,,,,,,,,,,SECISBP2L,,,Gm8179,Nf1
,,,,,,,,,,,,,,,,FLJ10038,,,Ipw,Nfic
,,,,,,,,,,,,,,,,GABPB1,,,Kcnq1ot1,Ngfrap1
,,,,,,,,,,,,,,,,GABPB1-AS1,,,Olfr856-ps1,Nicn1
,,,,,,,,,,,,,,,,USP8,,,Itgb2,Nkain2
,,,,,,,,,,,,,,,,AP4E1,,,Wdr77,Nkiras1
,,,,,,,,,,,,,,,,DMXL2,,,Rpa1,Nlgn1
,,,,,,,,,,,,,,,,MYO5A,,,Rmnd5b,Nmnat2
,,,,,,,,,,,,,,,,PYGO1,,,Itgb7,Nol7
,,,,,,,,,,,,,,,,RFX7,,,Tubb6,Nova2
,,,,,,,,,,,,,,,,LOC145783,,,Rec8,Npc2
,,,,,,,,,,,,,,,,TCF12,,,Cse1l,Npcd
,,,,,,,,,,,,,,,,SLTM,,,Lpcat3,Nr2c2
,,,,,,,,,,,,,,,,NARG2,,,Sst,Kras
,,,,,,,,,,,,,,,,USP3,,,Emr1,Nt5dc3
,,,,,,,,,,,,,,,,PDCD7,,,Hspb1,Ntrk2
,,,,,,,,,,,,,,,,CLPX,,,Rasa4,Nudt3
,,,,,,,,,,,,,,,,IGDCC3,,,Adcy9,Nudt4
,,,,,,,,,,,,,,,,PTPLAD1,,,Cryba2,Ogfod1
,,,,,,,,,,,,,,,,VWA9,,,Qrich1,Ola1
,,,,,,,,,,,,,,,,VWA9,,,Hapln4,Ophn1
,,,,,,,,,,,,,,,,VWA9,,,Rplp1,Osbpl2
,,,,,,,,,,,,,,,,DIS3L,,,Cd163,P2ry1
,,,,,,,,,,,,,,,,DIS3L,,,Cdk9,P4hb
,,,,,,,,,,,,,,,,MAP2K5,,,Rps25,Pacs1
,,,,,,,,,,,,,,,,FEM1B,,,Tmem167,Pacs2
,,,,,,,,,,,,,,,,CORO2B,,,Ttll5,Pafah1b2
,,,,,,,,,,,,,,,,ANP32A,,,Ly6g6e,Paip1
,,,,,,,,,,,,,,,,TLE3,,,Adamts13,Paip2
,,,,,,,,,,,,,,,,MYO9A,,,Gadd45b,Pak1
,,,,,,,,,,,,,,,,SENP8,,,Notch4,Pank2
,,,,,,,,,,,,,,,,SENP8,,,Fcrls,Paqr9
,,,,,,,,,,,,,,,,SENP8,,,Hsd11b1,Pcdh20
,,,,,,,,,,,,,,,,PKM,,,Lonrf3,Pcdh7
,,,,,,,,,,,,,,,,PKM,,,Cd34,Pcdhb19
,,,,,,,,,,,,,,,,PKM,,,Tox4,Pcdhb20
,,,,,,,,,,,,,,,,ARIH1,,,Cyth4,Pcdhb7
,,,,,,,,,,,,,,,,NEO1,,,Cd68,Pclo
,,,,,,,,,,,,,,,,CD276,,,Smyd4,Pcm1
,,,,,,,,,,,,,,,,CLK3,,,Vip,Pcmtd2
,,,,,,,,,,,,,,,,FAM219B,,,Nmbr,Pcp4l1
,,,,,,,,,,,,,,,,COX5A,,,Hint1,Pcyox1
,,,,,,,,,,,,,,,,MAN2C1,,,Nefh,Pde10a
,,,,,,,,,,,,,,,,SIN3A,,,Havcr2,Pde1a
,,,,,,,,,,,,,,,,SIN3A,,,Ccdc104,Pdha1
,,,,,,,,,,,,,,,,SIN3A,,,Krt12,Pdk2
,,,,,,,,,,,,,,,,PTPN9,,,Acly,Pdp1
,,,,,,,,,,,,,,,,UBE2Q2,,,Sptlc2,Pds5b
,,,,,,,,,,,,,,,,UBE2Q2,,,Spnb1,Pebp1
,,,,,,,,,,,,,,,,RCN2,,,Clmn,Pfn2
,,,,,,,,,,,,,,,,TSPAN3,,,0610007P14Rik,Phactr1
,,,,,,,,,,,,,,,,HMG20A,,,Ippk,Phc3
,,,,,,,,,,,,,,,,PEAK1,,,Golm1,Phyhipl
,,,,,,,,,,,,,,,,IREB2,,,Plk2,Picalm
,,,,,,,,,,,,,,,,PSMA4,,,Ppap2a,Pik3ca
,,,,,,,,,,,,,,,,MORF4L1,,,Mettl6,Pik3r3
,,,,,,,,,,,,,,,,MORF4L1,,,Rem2,Pip4k2b
,,,,,,,,,,,,,,,,MORF4L1,,,Cpne6,Pitpnc1
,,,,,,,,,,,,,,,,FAM108C1,,,Ppp1r1a,Pja2
,,,,,,,,,,,,,,,,MESDC1,,,Zfp251,Plxna4
,,,,,,,,,,,,,,,,MEX3B,,,Mapk12,Pmpca
,,,,,,,,,,,,,,,,HDGFRP3,,,Sdf2l1,Pnck
,,,,,,,,,,,,,,,,ZNF592,,,Lmln,Pnma2
,,,,,,,,,,,,,,,,ZNF710,,,Cela1,Pnoc
,,,,,,,,,,,,,,,,LOC100507217,,,Serinc2,Polr3k
,,,,,,,,,,,,,,,,LOC100507217,,,Calcr,Ppfia3
,,,,,,,,,,,,,,,,RGMA,,,Abcg1,Ppig
,,,,,,,,,,,,,,,,RGMA,,,Galnt14,Ppp1cb
,,,,,,,,,,,,,,,,IGF1R,,,Lama3,Ppp1r12b
,,,,,,,,,,,,,,,,MEF2A,,,Csf1r,Ppp2r2c
,,,,,,,,,,,,,,,,ASB7,,,Gal,Ppp2r5b
,,,,,,,,,,,,,,,,LINS,,,Gfra1,Pppde2
,,,,,,,,,,,,,,,,CHSY1,,,Entpd7,Prdm2
,,,,,,,,,,,,,,,,TM2D3,,,Crisp1,Prkar1b
,,,,,,,,,,,,,,,,LUC7L,,,Avil,Prkca
,,,,,,,,,,,,,,,,FAM173A,,,Klhl4,Prkce
,,,,,,,,,,,,,,,,UBE2I,,,Tmem14a,Ptbp2
,,,,,,,,,,,,,,,,UBE2I,,,Wdr12,Ptp4a2
,,,,,,,,,,,,,,,,TBL3,,,Slc9a2,Ptpn4
,,,,,,,,,,,,,,,,E4F1,,,Slc9a4,Pum2
,,,,,,,,,,,,,,,,ABCA17P,,,Ptprn,Rab11a
,,,,,,,,,,,,,,,,ABCA3,,,Ecel1,Rab11b
,,,,,,,,,,,,,,,,ATP6V0C,,,Htr4,Rab11fip2
,,,,,,,,,,,,,,,,ATP6V0C,,,Cyb5r1,Rab18
,,,,,,,,,,,,,,,,SRRM2-AS1,,,Lamc2,Rab3gap2
,,,,,,,,,,,,,,,,SRRM2,,,Ifi202b,Rab40b
,,,,,,,,,,,,,,,,TCEB2,,,Slc30a10,Rab8b
,,,,,,,,,,,,,,,,CLUAP1,,,Cr2,Rabgef1
,,,,,,,,,,,,,,,,TFAP4,,,Ccdc3,Rac3
,,,,,,,,,,,,,,,,MGRN1,,,1700019N19Rik,Rad23b
,,,,,,,,,,,,,,,,USP7,,,Phospho2,Rala
,,,,,,,,,,,,,,,,C16orf72,,,Chrna1,Rapgef2
,,,,,,,,,,,,,,,,SOCS1,,,Tmem85,Rasgrf2
,,,,,,,,,,,,,,,,ZC3H7A,,,Trpc4,Rassf5
,,,,,,,,,,,,,,,,METTL9,,,Larp7,Rbfox1
,,,,,,,,,,,,,,,,UQCRC2,,,Ndst4,Rbm18
,,,,,,,,,,,,,,,,EARS2,,,Cd1d1,Rbm33
,,,,,,,,,,,,,,,,UBFD1,,,Epha7,Rc3h2
,,,,,,,,,,,,,,,,RBBP6,,,Tnc,Rcan2
,,,,,,,,,,,,,,,,TNRC6A,,,Mfsd2a,Rcan3
,,,,,,,,,,,,,,,,ZKSCAN2,,,Cda,Rcn1
,,,,,,,,,,,,,,,,XPO6,,,Cd164l2,Reps2
,,,,,,,,,,,,,,,,ATXN2L,,,Ptpru,Rfx3
,,,,,,,,,,,,,,,,SPNS1,,,Cd38,Rgl1
,,,,,,,,,,,,,,,,MAZ,,,Dnajb6,Rgs17
,,,,,,,,,,,,,,,,MAZ,,,Yipf7,Rgs4
,,,,,,,,,,,,,,,,MAZ,,,Dmp1,Rgs7
,,,,,,,,,,,,,,,,ZNF48,,,Mmp17,Rgs7bp
,,,,,,,,,,,,,,,,ZNF48,,,6330406I15Rik,Rgs8
,,,,,,,,,,,,,,,,ZNF689,,,Akr1b8,Rhot1
,,,,,,,,,,,,,,,,ZNF689,,,Abcg2,Rif1
,,,,,,,,,,,,,,,,ZNF689,,,Pole4,Rimklb
,,,,,,,,,,,,,,,,LOC730183,,,Csda,Rit1
,,,,,,,,,,,,,,,,SRCAP,,,Slc17a6,Rmnd5a
,,,,,,,,,,,,,,,,ZNF629,,,Acan,Rnf157
,,,,,,,,,,,,,,,,FBXL19,,,Mrpl48,Rnf38
,,,,,,,,,,,,,,,,FBXL19,,,Uros,Rnf44
,,,,,,,,,,,,,,,,FBXL19-AS1,,,Gpc4,Robo2
,,,,,,,,,,,,,,,,SETD1A,,,Gla,Rph3a
,,,,,,,,,,,,,,,,ZNF646,,,Gabrq,Rpp25
,,,,,,,,,,,,,,,,ZNF668,,,Rnf128,Rragb
,,,,,,,,,,,,,,,,ZNF668,,,Brf2,Rrp1
,,,,,,,,,,,,,,,,FUS,,,Hpgd,Rtn2
,,,,,,,,,,,,,,,,ARMC5,,,Heatr3,Rufy2
,,,,,,,,,,,,,,,,ORC6,,,Mylk3,Runx1t1
,,,,,,,,,,,,,,,,VPS35,,,Pllp,Ryr2
,,,,,,,,,,,,,,,,C16orf87,,,Pik3r2,Scai
,,,,,,,,,,,,,,,,DNAJA2,,,Rrad,Sdha
,,,,,,,,,,,,,,,,NETO2,,,Car7,Sec62
,,,,,,,,,,,,,,,,CNEP1R1,,,Trpc6,Sema7a
,,,,,,,,,,,,,,,,CHD9,,,Mto1,Senp5
,,,,,,,,,,,,,,,,RBL2,,,Vipr1,Serbp1
,,,,,,,,,,,,,,,,AMFR,,,Cck,Serinc5
,,,,,,,,,,,,,,,,ARL2BP,,,Mrpl3,Sestd1
,,,,,,,,,,,,,,,,USB1,,,1110013L07Rik,Sft2d2
,,,,,,,,,,,,,,,,ZNF319,,,Zswim6,Sgcb
,,,,,,,,,,,,,,,,MMP15,,,Atg12,Sgce
,,,,,,,,,,,,,,,,C16orf80,,,Resp18,Sgpl1
,,,,,,,,,,,,,,,,CKLF,,,Vsx1,Sgtb
,,,,,,,,,,,,,,,,CKLF-CMTM1,,,Clec18a,Sh3bgrl
,,,,,,,,,,,,,,,,TK2,,,Neu4,Shank3
,,,,,,,,,,,,,,,,TK2,,,Rxfp1,Shisa6
,,,,,,,,,,,,,,,,TK2,,,Gcsh,Shroom2
,,,,,,,,,,,,,,,,TK2,,,Ibtk,Sirt3
,,,,,,,,,,,,,,,,TK2,,,Lrrk2,Slc22a17
,,,,,,,,,,,,,,,,DYNC1LI2,,,Qsox2,Slc25a12
,,,,,,,,,,,,,,,,NAE1,,,Jmjd4,Slc25a16
,,,,,,,,,,,,,,,,CBFB,,,Abcc12,Slc25a23
,,,,,,,,,,,,,,,,FAM65A,,,C1qa,Slc27a4
,,,,,,,,,,,,,,,,FAM65A,,,C1qc,Slc38a1
,,,,,,,,,,,,,,,,FAM65A,,,2510003E04Rik,Slc39a9
,,,,,,,,,,,,,,,,CTCF,,,Prkcdbp,Slc43a2
,,,,,,,,,,,,,,,,THAP11,,,4930444A02Rik,Slc44a1
,,,,,,,,,,,,,,,,PSKH1,,,Nov,Slc6a6
,,,,,,,,,,,,,,,,DDX28,,,Serpine1,Slmap
,,,,,,,,,,,,,,,,DUS2L,,,Klf10,Slmo2
,,,,,,,,,,,,,,,,PRMT7,,,Dtl,Smg7
,,,,,,,,,,,,,,,,SLC7A6OS,,,Aspg,Sms
,,,,,,,,,,,,,,,,VPS4A,,,Tecta,Smyd3
,,,,,,,,,,,,,,,,TERF2,,,Ninj1,Snap91
,,,,,,,,,,,,,,,,MIR1538,,,Cntnap5c,Snca
,,,,,,,,,,,,,,,,NFAT5,,,Atg5,Snn
,,,,,,,,,,,,,,,,EXOSC6,,,Rilp,Snrk
,,,,,,,,,,,,,,,,AP1G1,,,Ccdc68,Snx16
,,,,,,,,,,,,,,,,ZNF821,,,F13a1,Socs5
,,,,,,,,,,,,,,,,ZNF821,,,Itga9,Sod2
,,,,,,,,,,,,,,,,ZNF821,,,Daglb,Sox11
,,,,,,,,,,,,,,,,ZNF821,,,Slc9a8,Sox12
,,,,,,,,,,,,,,,,IST1,,,Myl6b,Sp4
,,,,,,,,,,,,,,,,IST1,,,Saa3,Spast
,,,,,,,,,,,,,,,,IST1,,,Gpr63,Spin1
,,,,,,,,,,,,,,,,ZNRF1,,,Tex2,Spna2
,,,,,,,,,,,,,,,,BCAR1,,,Lat2,Spnb2
,,,,,,,,,,,,,,,,BCAR1,,,1700123O20Rik,Spred2
,,,,,,,,,,,,,,,,BCAR1,,,Car8,Srgap3
,,,,,,,,,,,,,,,,BCAR1,,,D19Bwg1357e,Srprb
,,,,,,,,,,,,,,,,CMIP,,,Serpina3h,Srsf1
,,,,,,,,,,,,,,,,USP10,,,Gucy1a2,Srsf11
,,,,,,,,,,,,,,,,ZDHHC7,,,Pde3a,Srsf3
,,,,,,,,,,,,,,,,GSE1,,,Sln,Srsf7
,,,,,,,,,,,,,,,,GSE1,,,Zfp451,Stac2
,,,,,,,,,,,,,,,,COX4I1,,,0610010F05Rik,Stau2
,,,,,,,,,,,,,,,,EMC8,,,Frem3,Stim1
,,,,,,,,,,,,,,,,ZCCHC14,,,Crtac1,Stip1
,,,,,,,,,,,,,,,,BANP,,,Trim72,Stoml1
,,,,,,,,,,,,,,,,MVD,,,Tmem11,Stox2
,,,,,,,,,,,,,,,,SNAI3-AS1,,,Dmrta1,Strap
,,,,,,,,,,,,,,,,ANKRD11,,,Zmym1,Strbp
,,,,,,,,,,,,,,,,SPG7,,,Fmn1,Stx1a
,,,,,,,,,,,,,,,,RPL13,,,Spink10,Sult4a1
,,,,,,,,,,,,,,,,RPL13,,,Zfp758,Svip
,,,,,,,,,,,,,,,,SNORD68,,,Liph,Svop
,,,,,,,,,,,,,,,,VPS9D1,,,Zfp612,Syn2
